qid,Len,Lml,Den,Dml,P31,S854,P2093,P212,P957,P407,P495,P577,P1104,P136,P393
,Murukan Kattakkatayute Kavithakal,മുരുകൻ കാട്ടാക്കടയുടെ കവിതകൾ,Malayalam-language poetry published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കവിത,Q7725634,"""https://dcbookstore.com/books/murukan-kattakkatayute-kavithakal""","""Murukan Kattakkada""","""9788126427598""",,Q36236,Q668,+2026-02-18T00:00:00Z/11,94,Q482,"""17"""
,Muslim Viyojanavaadathinte Verukal,മുസ്ലിം വിയോജനവാദത്തിന്റെ വേരുകൾ,Malayalam-language politics published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള രാഷ്ട്രീയ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/muslim-viyojanavaadathinte-verukal""","""Hameed Chennamangalur""","""9788126434138""",,Q36236,Q668,+2012-01-01T00:00:00Z/11,128,,"""2"""
,Muttakkozhi Valarthal,മുട്ടക്കോഴി വളർത്തൽ,Malayalam-language agriculture & gardening published by DC Life,ഡിസി ലൈഫ് പ്രസിദ്ധീകരിച്ച മലയാള കൃഷിയും തോട്ടപരിപാലനവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/muttakkozhi-valarthal""","""Mohanan P V""","""9788126428823""",,Q36236,Q668,+2018-01-30T00:00:00Z/11,108,Q11451,"""5"""
,Muttamadikkunna Vellamayil,മുറ്റമടിക്കുന്ന വെള്ളമയിൽ,Malayalam-language poetry published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കവിത,Q7725634,"""https://dcbookstore.com/books/muttamadikkunna-vellamayil""","""Vinu Joseph""",,"""8126429372""",Q36236,Q668,+2015-09-06T00:00:00Z/11,52,Q482,"""1"""
,Mutual Fund : Ayirangale Kodikalakkunna Atbuthavidhya,മുട്‌ാൽ ഫണ്ട് : ആയിരങ്ങളെ കൊടികളാക്കുന്ന അബുദ്ധവിദ്യ,Malayalam-language economics published by DC Life,ഡിസി ലൈഫ് പ്രസിദ്ധീകരിച്ച മലയാള സാമ്പത്തികശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/mutual-fund--ayirangale-kodikalakkunna-atbuthavidhya""","""K. K. Jayakumar""","""9789354826160""",,Q36236,Q668,+2022-10-18T00:00:00Z/11,160,,"""1"""
,Muyal Valarthal (print on Demand),മുയൽ വളർത്തൽ (പ്രിന്റ് ഓൺ ഡിമാൻഡ്),Malayalam-language agriculture & gardening published by DC Life,ഡിസി ലൈഫ് പ്രസിദ്ധീകരിച്ച മലയാള കൃഷിയും തോട്ടപരിപാലനവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/muyal-valarthal""","""Mohanan P V""","""9788126424184""",,Q36236,Q668,+2013-09-03T00:00:00Z/11,105,Q11451,"""3"""
,Myth = Midhya,മിത്ത് = മിഥ്യ,Malayalam-language epics & myths published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഇതിഹാസങ്ങളും പുരാണങ്ങളും,Q7725634,"""https://dcbookstore.com/books/myth-midhya""","""Devdutt Pattanaik""","""9789354321634""",,Q36236,Q668,+2021-12-23T00:00:00Z/11,232,,"""1"""
,Mythology Quiz Book,മിത്തോളജി ക്വിസ് ബുക്ക്,Malayalam-language general knowledge published by DC Refernce : an Imprint of DC Books,ഡിസി റഫറൻസ് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള പൊതുവിജ്ഞാന പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/mythology-quiz-book""","""Terry O Brien""","""9788126474455""",,Q36236,Q668,+2016-11-30T00:00:00Z/11,164,,"""1"""
,"N. Krishna Pillai C.n. Sreekandan Nair, Thoppil Bhasi (mahacharithamala)",ണ്. കൃഷ്ണ പിള്ളൈ സി.ണ്. ശ്രീകണ്ഠൻ നായർ  തോപ്പിൽ ഭാസി (മഹാചരിതമാല),Malayalam-language autobiography & biography published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ആത്മകഥയും ജീവചരിത്രവും,Q7725634,"""https://dcbookstore.com/books/n-krishna-pillai-cn-sreekandan-nair-thoppil-bhasi-mahacharithamala""","""Ezhumattoor Rajarajavarma""","""9788126431823""",,Q36236,Q668,+2015-01-01T00:00:00Z/11,132,Q36279,"""3"""
,N Krishnapillayude Nadakangal Sampoornam,ണ് കൃഷ്ണപിള്ളയുടെ നാടകങ്ങൾ സമ്പൂര്ണം,Malayalam-language drama published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നാടകം,Q7725634,"""https://dcbookstore.com/books/n-krishnapillayude-nadakangal-sampoornam""","""Krishna Pillai N""","""9788126421046""",,Q36236,Q668,+2008-03-06T00:00:00Z/11,824,Q25379,"""1"""
,N Krishnapillayute Prabandhangal Sampoornam,ണ് കൃഷ്ണപിള്ളയുടെ പ്രബന്ധങ്ങൾ സമ്പൂര്ണം,Malayalam-language society & culture published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള സമൂഹവും സംസ്കാരവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/n-krishnapillayute-prabandhangal-sampoornam""","""Krishna Pillai N""","""9788124019603""",,Q36236,Q668,+2014-03-17T00:00:00Z/11,768,,"""1"""
,N Mohanante Kathakal,ണ് മോഹനന്റെ കഥകൾ,Malayalam-language story published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കഥ,Q7725634,"""https://dcbookstore.com/books/n-mohanante-kathakal""","""N. Mohanan""","""9789354328114""",,Q36236,Q668,+2022-09-05T00:00:00Z/11,752,Q49084,"""1"""
,N N Pillayute Sampoorna Natakangal,ണ് ണ് പിള്ളയുടെ സമ്പൂർണ നാടകങ്ങൾ,Malayalam-language drama published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നാടകം,Q7725634,"""https://dcbookstore.com/books/n-n-pillayute-sampoorna-natakangal""","""Pillai N N""","""9788124018460""",,Q36236,Q668,+2009-03-31T00:00:00Z/11,900,,"""1"""
,N S Madhavante Kadhakal Sampoornam,ണ് സ് മാധവന്റെ കഥകൾ സമ്പൂര്ണം,Malayalam-language short stories published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/n-s-madhavante-kathakal-sampoornam""","""N S Madhavan""","""9788126433056""",,Q36236,Q668,+2023-11-30T00:00:00Z/11,368,Q49084,"""6"""
,Naadanpremam,നാടൻപ്രേമം,Malayalam-language novel published by Mathrubhumi Books,മാതൃഭൂമി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/naadanpremam""","""Pottekkat S K""","""9788182679450""",,Q36236,Q668,+2009-11-25T00:00:00Z/11,80,Q8261,"""10"""
,Naalu Pennungal,നാല് പെണ്ണുങ്ങൾ,Malayalam-language screenplay published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള തിരക്കഥ,Q7725634,"""https://dcbookstore.com/books/naalu-pennungal""","""Adoor Gopalakrishnan""",,,Q36236,Q668,+2009-11-25T00:00:00Z/11,120,Q103076,"""1"""
,Naalukettu,നാലുകെട്ട്,Malayalam-language novel published by Trissur Current Books,തൃശൂർ കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/naalukettu""","""M T Vasudevan Nair""","""9788122607277""",,Q36236,Q668,+2012-08-06T00:00:00Z/11,207,Q8261,"""30"""
,Naalukettu [screenplay],നാലുകെട്ട് [സ്ക്രീൻപ്ലേയ്],Malayalam-language screenplay published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള തിരക്കഥ,Q7725634,"""https://dcbookstore.com/books/naalukettu-screenplay""","""M T Vasudevan Nair""","""9788126439416""",,Q36236,Q668,+2023-07-26T00:00:00Z/11,176,Q103076,"""3"""
,Naalumanippoovu,നാലുമണിപ്പൂവ്,Malayalam-language children's literature published by Mambazham : an Imprint of DC Books,മാമ്പഴം (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ബാലസാഹിത്യം,Q7725634,"""https://dcbookstore.com/books/naalumanippoovu""","""Veerankutty""","""9789352824601""",,Q36236,Q668,+2023-11-30T00:00:00Z/11,108,Q131539,"""2"""
,Naam Ariyuka Namme Ariyuka,നാം അറിയുക നമ്മെ അറിയുക,Malayalam-language self help published by DC Life,ഡിസി ലൈഫ് പ്രസിദ്ധീകരിച്ച മലയാള സ്വയംസഹായ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/naam-ariyuka-namme-ariyuka""","""Maya Susan Jacob""","""9789354323256""",,Q36236,Q668,+2025-10-13T00:00:00Z/11,184,Q3739522,"""5"""
,Narayaneeyam [melputhoor Narayana Bhattathiri],നാരായണീയം [മേൽപ്പത്തൂർ നാരായണ ഭട്ടതിരി],Malayalam-language religion published by Sadhana : an Imprint of DC Books,സാധന (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള മതം സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/naarayaneeyam-melpathoor-narayana-bhattathiri""","""Melputhoor Narayana Bhattathiri""","""9788126449262""",,Q36236,Q668,+2013-12-02T00:00:00Z/11,240,,"""1"""
,Nabiyude Nattil,നബിയുടെ നാട്ടിൽ,Malayalam-language travel & travelogue published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള യാത്രാവിവരണം,Q7725634,"""https://dcbookstore.com/books/nabiyude-nattil""","""Zacharia""",,,Q36236,Q668,+2022-02-26T00:00:00Z/11,106,Q1072723,"""7"""
,Nadakkanirangiya Pretham,നടക്കാനിറങ്ങിയ പ്രേതം,Malayalam-language short stories published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/nadakkanirangiya-pretham""","""Sadasivan M P""","""9789354827167""",,Q36236,Q668,+2022-08-26T00:00:00Z/11,128,,"""1"""
,Nadan - [screenplay],നടൻ - [സ്ക്രീൻപ്ലേയ്],Malayalam-language screenplay published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള തിരക്കഥ,Q7725634,"""https://dcbookstore.com/books/nadan""","""Suresh Babu S""","""9788126449293""",,Q36236,Q668,+2013-12-14T00:00:00Z/11,142,Q103076,"""1"""
,Nadan Pasukkalum Paripalana Reethikalum,നടൻ പശുക്കളും പരിപാലന രീതികളും,Malayalam-language agriculture & gardening published by DC Life,ഡിസി ലൈഫ് പ്രസിദ്ധീകരിച്ച മലയാള കൃഷിയും തോട്ടപരിപാലനവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/nadan-pasukkalum-paripalana-reethikalum""","""P J Joseph""","""9788126473786""",,Q36236,Q668,+2016-09-28T00:00:00Z/11,120,Q11451,"""1"""
,Nadeejyothisharahasyam,നാഡീജ്യോതിഷരഹസ്യം,Malayalam-language astrology published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ജ്യോതിഷ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/nadeejyothisharahasyam""","""Peethambaran N""",,"""8126434309""",Q36236,Q668,+2018-09-11T00:00:00Z/11,216,Q34362,"""2"""
,Nadodi,നാടോടി,Malayalam-language memoirs published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/nadodi""","""Ayaan Hirsi Ali""",,"""8126439785""",Q36236,Q668,+2013-12-02T00:00:00Z/11,320,,"""1"""
,Nadodikkattum Mattu Thirakkathakalum,നാടോടിക്കറ്റും മറ്റു തിരക്കഥകളും,Malayalam-language screenplay published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള തിരക്കഥ,Q7725634,"""https://dcbookstore.com/books/nadodikkattum-mattu-thirakkathakalum""","""Sreenivasan""","""9788126452880""",,Q36236,Q668,+2015-01-05T00:00:00Z/11,296,Q103076,"""1"""
,Nadodivijnaniyam,നാടോടിവിജ്ഞാനീയം,Malayalam-language folklore published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നാടോടിവിജ്ഞാനം,Q7725634,"""https://dcbookstore.com/books/nadodivijnaniyam""","""Vishnu Nambutiri M V""",,"""8171306764""",Q36236,Q668,+2023-06-30T00:00:00Z/11,332,,"""9"""
,Nagnan,നഗ്നൻ,Malayalam-language poetry published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കവിത,Q7725634,"""https://dcbookstore.com/books/nagnan""","""Thampi V G""",,"""8126438916""",Q36236,Q668,+2012-11-22T00:00:00Z/11,159,Q482,"""1"""
,Nagnanaya Thampuran,നഗ്നനായ തമ്പുരാൻ,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/nagnanaya-thampuran""","""M. Mukundan""","""9788171303465""",,Q36236,Q668,+2025-08-25T00:00:00Z/11,64,Q8261,"""8"""
,Nagnapurushan,നഗ്നപുരുഷൻ,Malayalam-language study published by Mathrubhumi Books,മാതൃഭൂമി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള പഠനം,Q7725634,"""https://dcbookstore.com/books/nagnapurushan""","""Desmond Morris""","""9788182659636""",,Q36236,Q668,+2020-11-18T00:00:00Z/11,225,Q193495,"""1"""
,Nagnarum Narabhojikalum,നഗ്നരും നരഭോജികളും,Malayalam-language travel & travelogue published by Manorama Publication,മനോരമ പബ്ലിക്കേഷൻ പ്രസിദ്ധീകരിച്ച മലയാള യാത്രാവിവരണം,Q7725634,"""https://dcbookstore.com/books/nagnarum-narabhojikalum""","""Venu""",,"""9389649633""",Q36236,Q668,+2020-02-06T00:00:00Z/11,320,Q1072723,"""1"""
,Nakshathrakuttan,നക്ഷത്രകുട്ടൻ,Malayalam-language children's literature published by Mambazham : an Imprint of DC Books,മാമ്പഴം (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ബാലസാഹിത്യം,Q7725634,"""https://dcbookstore.com/books/nakshathrakuttan""","""Oscar Wilde""","""9788126451517""",,Q36236,Q668,+2022-02-24T00:00:00Z/11,140,,"""5"""
,Nakshathrangale Nireekshikkam,നക്ഷത്രങ്ങളെ നിരീക്ഷിക്കാം,Malayalam-language science published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/nakshatrangale-nireekshikkam""","""Biman Basu""",,,Q36236,Q668,+2012-02-07T00:00:00Z/11,144,Q336,"""1"""
